State,State Abbreviations,State Center Coordinates,Capital,State Capital Coordinates,Year State Founded,Capital Start,Current Capital,State Area (sq. miles),Distance Between (miles),Area to Distance Ratio
Alabama,AL,"32.7794, -86.8287",Montgomery,"32.361538, -86.279118",1819,1846,Yes,52420.07,43.10,3.09
Alaska,AK,"64.0685, -152.2782",Juneau,"58.301935, -134.41974",1959,1906,Yes,665384.04,714.31,2.97
Arizona,AZ,"34.2744, -111.6602",Phoenix,"33.448457, -112.073844",1912,1889,Yes,113990.3,61.69,3.27
Arkansas,AR,"34.8938, -92.4426",Little Rock,"34.736009, -92.331122",1836,1821,Yes,53178.55,12.59,3.63
California,CA,"37.1841, -119.4696",Sacramento,"38.555605, -121.468926",1850,1854,Yes,163694.74,144.55,3.05
Colorado,CO,"38.9972, -105.5478",Denver,"39.7391667, -104.984167",1876,1867,Yes,104093.67,59.42,3.24
Connecticut,CT,"41.6219, -72.7273",Hartford,"41.767, -72.677",1788,1875,Yes,5543.41,10.35,2.73
Delaware,DE,"38.9896, -75.5050",Dover,"39.161921, -75.526755",1787,1777,Yes,2488.72,11.94,2.32
Florida,FL,"28.6305, -82.4497",Tallahassee,"30.4518, -84.27277",1845,1824,Yes,65757.7,166.70,2.60
Georgia,GA,"32.6415, -83.4426",Atlanta,"33.76, -84.39",1788,1868,Yes,59425.15,94.63,2.80
Hawaii,HI,"20.2927, -156.3737",Honolulu,"21.30895, -157.826182",1959,1845,Yes,10931.72,117.12,1.97
Idaho,ID,"44.3509, -114.6130",Boise,"43.613739, -116.237651",1890,1865,Yes,83568.95,95.65,2.94
Illinois,IL,"40.0417, -89.1965",Springfield,"39.78325, -89.650373",1818,1837,Yes,57913.55,29.99,3.29
Indiana,IN,"39.8942, -86.2816",Indianapolis,"39.790942, -86.147685",1816,1825,Yes,36419.55,10.07,3.56
Iowa,IA,"42.0751, -93.4960",Des Moines,"41.590939, -93.620866",1846,1857,Yes,56272.81,34.03,3.22
Kansas,KS,"38.4937, -98.3804",Topeka,"39.04, -95.69",1861,1856,Yes,82278.36,150.09,2.74
Kentucky,KY,"37.5347, -85.3021",Frankfort,"38.197274, -84.86311",1792,1792,Yes,40407.8,51.62,2.89
Louisiana,LA,"31.0689, -91.9968",Baton Rouge,"30.45809, -91.140229",1812,1880,Yes,52378.13,66.08,2.90
Maine,ME,"45.3695, -69.2428",Augusta,"44.323535, -69.765261",1820,1832,Yes,35379.74,76.65,2.66
Maryland,MD,"39.0550, -76.7909",Annapolis,"38.972945, -76.501157",1788,1694,Yes,12405.93,16.59,2.87
Massachusetts,MA,"42.2596, -71.8083",Boston,"42.2352, -71.0275",1788,1630,Yes,10554.39,40.08,2.42
Michigan,MI,"44.3467, -85.4102",Lansing,"42.7335, -84.5467",1837,1847,Yes,96713.51,119.51,2.91
Minnesota,MN,"46.2807, -94.3053",Saint Paul,"44.95, -93.094",1858,1849,Yes,86935.83,109.05,2.90
Mississippi,MS,"32.7364, -89.6678",Jackson,"32.32, -90.207",1817,1821,Yes,48431.78,42.59,3.06
Missouri,MO,"38.3566, -92.4580",Jefferson City,"38.572954, -92.189283",1821,1826,Yes,69706.99,20.86,3.52
Montana,MT,"47.0527, -109.6333",Helena,"46.595805, -112.027031",1889,1875,Yes,147039.71,117.80,3.10
Nebraska,NE,"41.5378, -99.7951",Lincoln,"40.809868, -96.675345",1867,1867,Yes,77347.81,170.24,2.66
